reference,candidate,n,bias_C,mae_C,rmse_C,corr,amp_reference_C,amp_candidate_C,amp_error_C,peak_time_reference,peak_time_candidate,peak_lag_min,top_col,H_slab_m
T1Tb,forced_slab_from_T1Ta,3459,-0.31682183531186414,2.6439681233777046,3.0744255491450776,0.8431781569000097,13.027245000000004,20.190409910253152,7.163164910253148,2026-04-01 14:56:00,2026-04-01 13:52:00,-64.0,T1Ta,0.01
T1Tb,forced_slab_from_T1Ta,3459,-0.3262276225055858,2.5533840523197737,2.9664072204708023,0.8483512932354417,13.027245000000004,19.78243610763252,6.755191107632516,2026-04-01 14:56:00,2026-04-01 13:52:00,-64.0,T1Ta,0.015
T1Tb,forced_slab_from_T1Ta,3459,-0.334171543729815,2.459658670812074,2.8544714541112617,0.8546429160116793,13.027245000000004,19.37655969771066,6.349314697710657,2026-04-01 14:56:00,2026-04-01 13:53:00,-63.0,T1Ta,0.019999999999999997
T1Tb,forced_slab_from_T1Ta,3459,-0.34076978745173175,2.3626116981725622,2.7384349300788906,0.8619469559308599,13.027245000000004,18.984406619506217,5.957161619506213,2026-04-01 14:56:00,2026-04-01 13:54:00,-62.0,T1Ta,0.024999999999999998
T1Tb,forced_slab_from_T1Ta,3459,-0.3461535800200587,2.2622497446616734,2.6183370542762687,0.8701313312942174,13.027245000000004,18.609921648991076,5.582676648991072,2026-04-01 14:56:00,2026-04-01 13:55:00,-61.0,T1Ta,0.03
T1Tb,forced_slab_from_T1Ta,3459,-0.35045537910506713,2.1586451581441666,2.494444505700837,0.8790393784297652,13.027245000000004,18.258741216696365,5.23149621669636,2026-04-01 14:56:00,2026-04-01 13:55:00,-61.0,T1Ta,0.034999999999999996
T1Tb,forced_slab_from_T1Ta,3459,-0.3538088123417211,2.051930952670363,2.3671682775589566,0.8885000977252301,13.027245000000004,17.918442166661862,4.891197166661858,2026-04-01 14:56:00,2026-04-01 13:56:00,-60.0,T1Ta,0.039999999999999994
T1Tb,forced_slab_from_T1Ta,3459,-0.35635355941412056,1.9425404340963954,2.23695999124355,0.8983398705462522,13.027245000000004,17.584619127362316,4.557374127362312,2026-04-01 14:56:00,2026-04-01 13:57:00,-59.0,T1Ta,0.045
T1Tb,forced_slab_from_T1Ta,3459,-0.3582299868535512,1.8307015368041644,2.1042693062960365,0.908388315672265,13.027245000000004,17.25077502251719,4.223530022517185,2026-04-01 14:56:00,2026-04-01 13:58:00,-58.0,T1Ta,0.049999999999999996
T1Tb,forced_slab_from_T1Ta,3459,-0.3595695342277957,1.7169706590291096,1.9695609704590449,0.9184790996123675,13.027245000000004,16.915748864993134,3.8885038649931296,2026-04-01 14:56:00,2026-04-01 13:59:00,-57.0,T1Ta,0.05499999999999999
T1Tb,forced_slab_from_T1Ta,3459,-0.36048944733291,1.6023826754463617,1.8333541434301226,0.9284494412505676,13.027245000000004,16.577578862197242,3.5503338621972382,2026-04-01 14:56:00,2026-04-01 14:01:00,-55.0,T1Ta,0.05999999999999999
T1Tb,forced_slab_from_T1Ta,3459,-0.36109335906139967,1.4868618612498465,1.6962608383774322,0.9381404550641461,13.027245000000004,16.237525427302216,3.2102804273022123,2026-04-01 14:56:00,2026-04-01 14:03:00,-53.0,T1Ta,0.06499999999999999
T1Tb,forced_slab_from_T1Ta,3459,-0.3614749406835752,1.3712740928962852,1.5590226662737503,0.9473985060083936,13.027245000000004,15.896769242586004,2.8695242425859995,2026-04-01 14:56:00,2026-04-01 14:04:00,-52.0,T1Ta,0.06999999999999999
