reference,candidate,n,bias_C,mae_C,rmse_C,corr,amp_reference_C,amp_candidate_C,amp_error_C,peak_time_reference,peak_time_candidate,peak_lag_min
T1Ta,T_f,3459,5.027664633212105,12.548377941210827,18.825759179804,0.14896139669858943,20.998882000000002,117.55520512661855,96.55632312661854,2026-04-01 13:51:00,2026-04-02 10:16:00,1225.0
T1Ta,T_g_top,3459,0.864956811596951,4.484644680074244,5.404578834558045,0.3479055589387444,20.998882000000002,24.26067555025935,3.2617935502593483,2026-04-01 13:51:00,2026-04-02 09:15:00,1164.0
T1Ta,T_g_mid,3459,0.39909164294263993,4.258253326580097,5.000232151747273,0.47455821390090086,20.998882000000002,7.733095851520602,-13.2657861484794,2026-04-01 13:51:00,2026-04-02 09:26:00,1175.0
T1Ta,T_g_bot,3459,-0.09481429665713911,4.535679373336684,5.429177943838652,0.19492998053969457,20.998882000000002,2.0213426320387313,-18.97753936796127,2026-04-01 13:51:00,2026-04-02 12:45:00,1374.0
T1Ta,T_s_in,3459,-0.26706747300860406,4.473218505356372,5.416235088294641,0.2050847424419215,20.998882000000002,2.401664588475171,-18.59721741152483,2026-04-01 13:51:00,2026-04-01 16:19:00,148.0
T1Ta,T_in_used,3459,-0.5895887060078984,3.8647475925926558,4.859909867911514,0.6243488786831481,20.998882000000002,4.841754645146352,-16.15712735485365,2026-04-01 13:51:00,2026-04-01 15:11:00,80.0
T1Ke,T_f,3459,4.876462070043559,13.081179186879972,18.776587284293715,0.06207091816206842,8.933400999999996,117.55520512661855,108.62180412661854,2026-04-02 12:13:00,2026-04-02 10:16:00,-117.0
T1Ke,T_g_top,3459,0.7137542484284054,2.9905558247094777,3.809661534874023,0.14630483869743616,8.933400999999996,24.26067555025935,15.327274550259354,2026-04-02 12:13:00,2026-04-02 09:15:00,-178.0
T1Ke,T_g_mid,3459,0.24788907977409447,2.065280171750513,2.3560132204608806,0.29319287667357075,8.933400999999996,7.733095851520602,-1.2003051484793943,2026-04-02 12:13:00,2026-04-02 09:26:00,-167.0
T1Ke,T_g_bot,3459,-0.24601685982568477,1.8933160036091303,2.2110009627224434,0.3818030720612161,8.933400999999996,2.0213426320387313,-6.912058367961265,2026-04-02 12:13:00,2026-04-02 12:45:00,32.0
