,sim_T_s_in,obs_T1Ka,error_C,T1Ke_upper_air,T2A2_outer_interface,weather_T_a,weather_G_sol
2026-03-31 11:58:00,28.26503265152337,28.248961,0.016071651523368757,31.699075,29.943716,31.2,339.0
2026-03-31 11:59:00,28.57251099119219,28.268122,0.3043889911921873,31.910684,29.926393,31.1,533.0
2026-03-31 12:00:00,28.731418818875625,28.303696,0.42772281887562613,32.194048,29.942422,31.1,533.0
2026-03-31 12:01:00,28.854874649145415,28.33498,0.5198946491454137,32.367931,29.958237,31.1,533.0
2026-03-31 12:02:00,28.957831666551556,28.371289,0.586542666551555,32.406163,29.981967,31.1,650.0
2026-03-31 12:03:00,29.04740080971635,28.460467,0.5869338097163492,32.547677,30.004893,31.2,650.0
2026-03-31 12:04:00,29.126884176265605,28.457621,0.6692631762656056,32.409939,30.019357,31.2,714.0
2026-03-31 12:05:00,29.1966004300009,28.492168,0.7044324300008995,32.51009,30.037506,31.2,760.0
2026-03-31 12:06:00,29.265478220177442,28.534432,0.7310462201774435,32.74318,30.062959,31.2,740.0
2026-03-31 12:07:00,29.33516999159093,28.610726,0.7244439915909311,33.034373,30.093889,31.3,740.0
2026-03-31 12:08:00,29.397265561098948,28.662985,0.7342805610989487,32.620262,30.117877,31.3,740.0
2026-03-31 12:09:00,29.440612861491047,28.63917,0.8014428614910472,32.132231,30.137368,31.4,784.0
2026-03-31 12:10:00,29.479461304673748,28.696941,0.7825203046737492,32.327032,30.17259,31.4,784.0
2026-03-31 12:11:00,29.52540351024436,28.715936,0.8094675102443603,32.450868,30.208192,31.4,824.0
2026-03-31 12:12:00,29.575166853228836,28.758176,0.8169908532288375,32.885676,30.231363,31.4,824.0
2026-03-31 12:13:00,29.627603520867297,28.810921,0.8166825208672961,32.899067,30.260338,31.5,784.0
2026-03-31 12:14:00,29.674090122751807,28.826783,0.8473071227518076,32.975307,30.286315,31.5,784.0
2026-03-31 12:15:00,29.718828066735398,28.843375,0.8754530667353961,33.047918,30.309782,31.6,759.0
2026-03-31 12:17:00,29.80299239274035,28.910495,0.8924973927403492,33.169248,30.366731,31.5,809.0
2026-03-31 12:18:00,29.83431577355509,28.934475,0.8998407735550913,32.490005,30.370612,31.4,784.0
2026-03-31 12:19:00,29.84848299802877,28.899484,0.9489989980287703,32.039799,30.352321,31.4,809.0
2026-03-31 12:20:00,29.862301511629312,28.908402,0.953899511629313,32.080997,30.366842,31.3,786.0
2026-03-31 12:21:00,29.88529556310897,28.896713,0.9885825631089702,32.36281,30.390218,31.3,821.0
2026-03-31 12:22:00,29.91436706257042,28.921289,0.9930780625704188,32.497247,30.423344,31.2,403.0
2026-03-31 12:23:00,29.940437605926206,28.914036,1.0264016059262069,32.338159,30.418446,31.2,719.0
2026-03-31 12:24:00,29.95788397414435,28.904243,1.0536409741443507,32.006737,30.428894,31.2,719.0
2026-03-31 12:25:00,29.969228490496505,28.848624,1.120604490496504,31.837388,30.437397,31.2,269.0
2026-03-31 12:26:00,29.98141666362625,28.821056,1.1603606636262498,31.846566,30.456119,31.2,269.0
2026-03-31 12:27:00,29.99233239344477,28.806668,1.185664393444771,31.523017,30.461318,31.2,269.0
2026-03-31 12:28:00,30.008513115602625,28.807351,1.2011621156026244,32.335821,30.472101,31.2,269.0
2026-03-31 12:29:00,30.038302698125165,28.83017,1.2081326981251657,32.256168,30.493084,31.2,269.0
