channel,current_interpretation,n,min_C,mean_C,max_C,amp_max_min_C,amp_p95_p05_C,peak_time,corr_with_G_sol,corr_with_T_a
T1Ka,T1Ka = confirmed inner roof / T_s_in target,3459,26.459432,28.461199447528188,31.306007,4.846575000000001,4.0958541,2026-04-01 15:14:00,0.15558914281710623,0.4397555399649242
T1Ke,T1Ke = upper-zone indoor air proxy / T_air_upper,3459,26.114719,29.202486087019373,35.04812,8.933400999999996,7.228691200000004,2026-04-02 12:13:00,0.5326989431042586,0.7912847735467199
T2A2,"T2A2 = candidate outer roof interface above slab, below substrate",3459,24.908051,27.469925814397225,31.530398,6.622347000000001,5.3438257,2026-04-02 12:36:00,0.624395911673478,0.8774378928044185
T2A,"T2A = uncertain candidate, not preferred for outer roof",3459,25.551737,26.662990343451867,28.127127,2.5753900000000023,2.242141799999999,2026-04-01 17:18:00,-0.30819676845587823,-0.010949382400936758
T3Ka,T3Ka,3459,26.97034,29.272625203527028,31.625826,4.655486,4.018311899999997,2026-04-01 15:23:00,0.022029384293705878,0.29648212098616855
T2Ka,T2Ka,3459,25.03021,29.81550676062446,39.869657,14.839446999999996,12.171849899999994,2026-04-01 15:24:00,0.22817418628835348,0.5093737570245003
T1Kd,T1Kd = floor-related sensor,3459,27.51216,28.535928604220874,30.386934,2.8747739999999986,2.1395561,2026-04-02 13:57:00,0.03159222835868399,0.3092276647574637
T1Kb,T1Kb = east-side related sensor,3459,25.908019,29.272011161896504,35.944944,10.036925,7.850044599999997,2026-04-02 12:31:00,0.6804123821748842,0.9010664072336877
T1Kc,T1Kc = west-side related sensor,3459,25.83353,29.107060786065336,35.847163,10.013633000000002,8.455279,2026-04-01 14:45:00,0.5967908642593951,0.8600697806927751
T1Ta2,T1Ta2,3459,24.02278,26.08579934171726,29.40962,5.386839999999999,4.2181274,2026-03-31 12:18:00,0.5418432624903594,0.7860080687543919
T1Tb,T1Tb,3459,25.14522,29.34446057502168,38.172465,13.027245000000004,10.082368600000002,2026-04-01 14:56:00,0.39658019258659755,0.6896141373691282
T1Ta,T1Ta,3459,23.487547,29.051283523850827,44.486429,20.998882000000002,16.579661299999998,2026-04-01 13:51:00,0.7617673352607807,0.947195486291471
