channel,role_in_this_runner,min_C,mean_C,max_C,amp_C,peak_time
T1Ka,T1Ka = measured T_s_in / indoor roof surface,26.459432,28.461199447528188,31.306007,4.846575000000001,2026-04-01 15:14:29.954869431
T3Ka,T3Ka,26.97034,29.272625203527028,31.625826,4.655486,2026-04-01 15:23:29.952847593
T2Ka,T2Ka,25.03021,29.81550676062446,39.869657,14.839446999999996,2026-04-01 15:24:29.952524030
T1Kd,T1Kd = floor-related sensor,27.51216,28.535928604220874,30.386934,2.8747739999999986,2026-04-02 13:57:50.977589742
T1Kb,T1Kb = east-side related sensor,25.908019,29.272011161896504,35.944944,10.036925,2026-04-02 12:31:33.225631766
T1Kc,T1Kc = west-side related sensor,25.83353,29.107060786065336,35.847163,10.013633000000002,2026-04-01 14:45:29.793300687
T2A2,T2A2,24.908051,27.469925814397225,31.530398,6.622347000000001,2026-04-02 12:36:33.248759256
T2A,T2A,25.551737,26.662990343451867,28.127127,2.5753900000000023,2026-04-01 17:18:30.648444410
T1Ta2,T1Ta2,24.02278,26.08579934171726,29.40962,5.386839999999999,2026-03-31 12:18:20.554119048
T1Ke,T1Ke = tested T_air_in / indoor air proxy,26.114719,29.202486087019373,35.04812,8.933400999999996,2026-04-02 12:13:33.103245967
T1Tb,T1Tb,25.14522,29.34446057502168,38.172465,13.027245000000004,2026-04-01 14:56:29.864175394
T1Ta,T1Ta,23.487547,29.051283523850827,44.486429,20.998882000000002,2026-04-01 13:51:29.414238045
