timestamp,T2A2,T1Ka_inner_roof,G_sol,T_a,RH
2026-03-31 11:58:00,29.943716,28.248961,339.0,31.2,79.0
2026-03-31 11:59:00,29.926393,28.268122,533.0,31.1,80.0
2026-03-31 12:00:00,29.942422,28.303696,533.0,31.1,80.0
2026-03-31 12:01:00,29.958237,28.33498,533.0,31.1,80.0
2026-03-31 12:02:00,29.981967,28.371289,650.0,31.1,80.0
2026-03-31 12:03:00,30.004893,28.460467,650.0,31.2,79.0
2026-03-31 12:04:00,30.019357,28.457621,714.0,31.2,79.0
2026-03-31 12:05:00,30.037506,28.492168,760.0,31.2,78.0
2026-03-31 12:06:00,30.062959,28.534432,740.0,31.2,78.0
2026-03-31 12:07:00,30.093889,28.610726,740.0,31.3,80.0
2026-03-31 12:08:00,30.117877,28.662985,740.0,31.3,80.0
2026-03-31 12:09:00,30.137368,28.63917,784.0,31.4,80.0
2026-03-31 12:10:00,30.17259,28.696941,784.0,31.4,80.0
2026-03-31 12:11:00,30.208192,28.715936,824.0,31.4,80.0
2026-03-31 12:12:00,30.231363,28.758176,824.0,31.4,81.0
2026-03-31 12:13:00,30.260338,28.810921,784.0,31.5,81.0
2026-03-31 12:14:00,30.286315,28.826783,784.0,31.5,81.0
2026-03-31 12:15:00,30.309782,28.843375,759.0,31.6,81.0
2026-03-31 12:16:00,,,796.0,31.6,81.0
2026-03-31 12:17:00,30.366731,28.910495,809.0,31.5,80.0
2026-03-31 12:18:00,30.370612,28.934475,784.0,31.4,79.0
2026-03-31 12:19:00,30.352321,28.899484,809.0,31.4,79.0
2026-03-31 12:20:00,30.366842,28.908402,786.0,31.3,80.0
2026-03-31 12:21:00,30.390218,28.896713,821.0,31.3,80.0
2026-03-31 12:22:00,30.423344,28.921289,403.0,31.2,80.0
2026-03-31 12:23:00,30.418446,28.914036,719.0,31.2,80.0
2026-03-31 12:24:00,30.428894,28.904243,719.0,31.2,80.0
2026-03-31 12:25:00,30.437397,28.848624,269.0,31.2,79.0
2026-03-31 12:26:00,30.456119,28.821056,269.0,31.2,79.0
2026-03-31 12:27:00,30.461318,28.806668,269.0,31.2,79.0
2026-03-31 12:28:00,30.472101,28.807351,269.0,31.2,80.0
2026-03-31 12:29:00,30.493084,28.83017,269.0,31.2,80.0
2026-03-31 12:30:00,30.493231,28.827522,754.0,31.2,79.0
2026-03-31 12:31:00,30.483899,28.851592,754.0,31.2,78.0
2026-03-31 12:32:00,30.492787,28.871282,872.0,31.2,77.0
2026-03-31 12:33:00,30.490443,28.856608,872.0,31.2,77.0
2026-03-31 12:34:00,30.501044,28.838158,872.0,31.2,77.0
2026-03-31 12:35:00,30.507926,28.884875,872.0,31.2,77.0
2026-03-31 12:36:00,30.518971,28.898569,338.0,31.2,76.0
2026-03-31 12:37:00,30.524489,28.896423,338.0,31.2,76.0
2026-03-31 12:38:00,30.517671,28.901168,338.0,31.2,76.0
2026-03-31 12:39:00,30.531291,28.939402,482.0,31.2,76.0
2026-03-31 12:40:00,30.553023,29.000353,482.0,31.3,76.0
2026-03-31 12:41:00,30.572199,29.045526,814.0,31.3,76.0
2026-03-31 12:42:00,30.593892,29.051953,814.0,31.3,76.0
2026-03-31 12:43:00,30.615377,29.05357,267.0,31.3,77.0
2026-03-31 12:44:00,30.611069,29.031169,267.0,31.4,77.0
2026-03-31 12:45:00,30.635551,29.00188,223.0,31.4,77.0
2026-03-31 12:46:00,30.656461,29.036627,197.0,31.4,77.0
2026-03-31 12:47:00,30.66162,29.009568,185.0,31.5,78.0
2026-03-31 12:48:00,30.680485,28.978337,185.0,31.6,78.0
2026-03-31 12:49:00,30.671535,28.936959,176.0,31.6,78.0
2026-03-31 12:50:00,30.673201,28.883294,176.0,31.6,78.0
2026-03-31 12:51:00,30.661355,28.876378,174.0,31.6,78.0
2026-03-31 12:52:00,30.673149,28.872108,178.0,31.6,79.0
2026-03-31 12:53:00,30.680328,28.897652,188.0,31.6,79.0
2026-03-31 12:54:00,30.676661,28.867814,213.0,31.4,79.0
2026-03-31 12:55:00,30.682549,28.858649,213.0,31.3,79.0
2026-03-31 12:56:00,30.664161,28.848899,255.0,31.3,79.0
2026-03-31 12:57:00,30.659781,28.831784,248.0,31.2,79.0
2026-03-31 12:58:00,30.654935,28.82076,248.0,31.2,80.0
2026-03-31 12:59:00,30.650512,28.842319,272.0,31.1,80.0
2026-03-31 13:00:00,30.636867,28.836779,318.0,31.1,79.0
2026-03-31 13:01:00,30.625428,28.864336,770.0,31.0,80.0
2026-03-31 13:02:00,30.641212,28.934153,772.0,30.9,80.0
2026-03-31 13:03:00,30.632358,28.974859,712.0,30.9,81.0
2026-03-31 13:04:00,30.644283,28.978536,793.0,31.0,81.0
2026-03-31 13:05:00,30.655504,29.003117,793.0,31.1,81.0
2026-03-31 13:06:00,30.671455,28.966422,798.0,31.1,80.0
2026-03-31 13:07:00,30.684276,28.925688,824.0,31.1,80.0
2026-03-31 13:08:00,30.700347,28.891254,795.0,31.1,80.0
