sensor,n_total,n_physical_bad,n_isolated_jump_bad,n_hampel_bad,n_total_omitted,percent_omitted,min_after,max_after
T1Kd,13709,0,0,338,338,2.465533591071559,26.720654,31.717699
T1Kb,13709,0,0,392,392,2.859435407396601,25.332715,37.881874
T1Ke,13709,0,0,363,363,2.647895543073893,25.368165,39.782934
T1Ka,13709,0,0,390,390,2.844846451236414,24.767144,42.772215
T1Kc,13709,0,0,294,294,2.1445765555474505,25.234269,40.242716
T3Kb,13709,0,0,412,412,3.005324968998468,25.126896,38.292205
T3Kd,13709,0,0,442,442,3.2241593114012694,26.39608,31.043268
T3Ke,13709,0,0,406,406,2.961558100517908,25.526934,34.139709
T3Kc,13709,0,0,490,490,3.574294259245751,25.309904,34.318063
T3Ka,13709,0,0,518,518,3.7785396454883653,26.126518,31.856519
T2Ka,13709,0,0,267,267,1.9476256473849296,24.412788,41.746394
T2Kd,13709,0,0,471,471,3.4356991757239768,24.822549,37.898883
T2Kc,13709,0,0,360,360,2.626012108833613,24.964851,38.400069
2Ke,13709,0,0,631,631,4.602815668538916,26.055978,33.477785
T1A,13709,44,2,758,798,5.820993507914508,23.123575,60.902684
T2A,13709,66,1,463,521,3.8004230797286453,21.652382,54.092942
T2A2,13709,0,0,309,309,2.2539937267488512,24.173672,52.372973
T1Tb,13709,0,0,294,294,2.1445765555474505,24.500937,38.479866
T1Ta,13709,0,0,420,420,3.063680793639215,22.796758,47.319872
T1Ta2,13709,8,1,322,330,2.407177766430812,21.441372,57.077171
